# y+ ()       
# Time        	patch         	min           	max           	average       
0.0518673     	BOTTOM	3.204531e-07	1.795052e+01	1.889305e+00
0.0518673     	WALL	1.497040e-03	2.027894e+01	2.608744e+00
0.052495      	BOTTOM	5.470279e-08	1.807026e+01	1.903197e+00
0.052495      	WALL	1.463628e-03	2.020873e+01	2.625621e+00
0.0531253     	BOTTOM	4.792805e-07	1.818937e+01	1.917057e+00
0.0531253     	WALL	1.329231e-03	2.011818e+01	2.644078e+00
0.0537584     	BOTTOM	4.655653e-07	1.830809e+01	1.930886e+00
0.0537584     	WALL	1.111345e-03	2.000561e+01	2.664758e+00
0.0543915     	BOTTOM	1.921487e-07	1.842666e+01	1.944649e+00
0.0543915     	WALL	9.604182e-04	1.989154e+01	2.685301e+00
0.0550273     	BOTTOM	4.623985e-07	1.854467e+01	1.958393e+00
0.0550273     	WALL	9.296357e-04	1.977745e+01	2.704753e+00
0.055666      	BOTTOM	5.251588e-07	1.866214e+01	1.972074e+00
0.055666      	WALL	8.895866e-04	1.970790e+01	2.723730e+00
0.0563046     	BOTTOM	2.273168e-07	1.877910e+01	1.985719e+00
0.0563046     	WALL	8.954365e-04	1.971250e+01	2.743113e+00
0.0569461     	BOTTOM	4.024920e-07	1.889552e+01	1.999348e+00
0.0569461     	WALL	8.994584e-04	1.970840e+01	2.762083e+00
0.0575905     	BOTTOM	2.664876e-07	1.901147e+01	2.012934e+00
0.0575905     	WALL	9.093421e-04	1.969754e+01	2.780302e+00
0.0582349     	BOTTOM	7.485080e-08	1.912692e+01	2.026449e+00
0.0582349     	WALL	9.145326e-04	1.968397e+01	2.797741e+00
0.0588822     	BOTTOM	1.298144e-07	1.924190e+01	2.039929e+00
0.0588822     	WALL	9.227011e-04	1.966781e+01	2.814296e+00
0.0595325     	BOTTOM	5.864256e-07	1.935642e+01	2.053378e+00
0.0595325     	WALL	9.350138e-04	1.964560e+01	2.832619e+00
0.0601859     	BOTTOM	3.998912e-07	1.947054e+01	2.066793e+00
0.0601859     	WALL	9.857442e-04	1.961909e+01	2.854080e+00
0.0608423     	BOTTOM	3.232599e-07	1.958426e+01	2.080194e+00
0.0608423     	WALL	1.029750e-03	1.958713e+01	2.875466e+00
0.0615049     	BOTTOM	6.156316e-07	1.969762e+01	2.093594e+00
0.0615049     	WALL	1.090845e-03	1.955309e+01	2.896594e+00
0.0621708     	BOTTOM	3.555562e-07	1.981071e+01	2.106973e+00
0.0621708     	WALL	1.108826e-03	1.951602e+01	2.915803e+00
0.0628399     	BOTTOM	6.087530e-07	1.992370e+01	2.120330e+00
0.0628399     	WALL	1.158192e-03	1.947571e+01	2.932807e+00
0.0635155     	BOTTOM	5.965120e-07	2.003644e+01	2.133689e+00
0.0635155     	WALL	1.315848e-03	1.943079e+01	2.947915e+00
0.0641945     	BOTTOM	2.838940e-07	2.014949e+01	2.147019e+00
0.0641945     	WALL	1.478333e-03	1.937989e+01	2.961731e+00
0.064877      	BOTTOM	3.559392e-07	2.026251e+01	2.160335e+00
0.064877      	WALL	1.615569e-03	1.932377e+01	2.974861e+00
0.0655629     	BOTTOM	7.438067e-07	2.037536e+01	2.173617e+00
0.0655629     	WALL	1.720126e-03	1.926625e+01	2.989632e+00
0.0662523     	BOTTOM	4.205743e-07	2.048804e+01	2.186882e+00
0.0662523     	WALL	1.822191e-03	1.920585e+01	3.002447e+00
0.0669453     	BOTTOM	4.779522e-07	2.060055e+01	2.200150e+00
0.0669453     	WALL	1.908013e-03	1.914064e+01	3.014849e+00
0.0676419     	BOTTOM	2.041590e-07	2.071291e+01	2.213406e+00
0.0676419     	WALL	1.982852e-03	1.907039e+01	3.026550e+00
0.0683422     	BOTTOM	3.950697e-07	2.082511e+01	2.226650e+00
0.0683422     	WALL	2.042909e-03	1.899502e+01	3.036299e+00
0.0690425     	BOTTOM	7.259902e-07	2.093715e+01	2.239852e+00
0.0690425     	WALL	2.113134e-03	1.891474e+01	3.044835e+00
0.0697466     	BOTTOM	3.011196e-07	2.104900e+01	2.253036e+00
0.0697466     	WALL	2.172179e-03	1.882904e+01	3.057373e+00
0.0704507     	BOTTOM	6.143587e-07	2.116066e+01	2.266166e+00
0.0704507     	WALL	2.150193e-03	1.873870e+01	3.073912e+00
0.0711586     	BOTTOM	2.942008e-07	2.127210e+01	2.279288e+00
0.0711586     	WALL	2.170852e-03	1.864220e+01	3.090371e+00
0.0718665     	BOTTOM	3.968975e-07	2.138332e+01	2.292334e+00
0.0718665     	WALL	2.116127e-03	1.854172e+01	3.105276e+00
0.0725784     	BOTTOM	3.567655e-07	2.149427e+01	2.305369e+00
0.0725784     	WALL	2.069426e-03	1.843819e+01	3.119755e+00
0.0732902     	BOTTOM	5.395274e-07	2.160495e+01	2.318343e+00
0.0732902     	WALL	1.934351e-03	1.833341e+01	3.133017e+00
0.0741451     	BOTTOM	1.232072e-07	2.171627e+01	2.332363e+00
0.0741451     	WALL	1.852751e-03	1.820294e+01	3.146547e+00
0.075         	BOTTOM	5.837602e-07	2.182939e+01	2.346138e+00
0.075         	WALL	1.631240e-03	1.807056e+01	3.158089e+00
0.0757184     	BOTTOM	4.074773e-07	2.194326e+01	2.358988e+00
0.0757184     	WALL	1.489011e-03	1.795816e+01	3.167114e+00
0.0764368     	BOTTOM	2.660202e-07	2.205687e+01	2.372016e+00
0.0764368     	WALL	1.300139e-03	1.784525e+01	3.176857e+00
0.0771594     	BOTTOM	6.464631e-07	2.217001e+01	2.384969e+00
0.0771594     	WALL	1.237195e-03	1.772900e+01	3.184472e+00
0.077882      	BOTTOM	6.661572e-07	2.228259e+01	2.397891e+00
0.077882      	WALL	1.252820e-03	1.761257e+01	3.191542e+00
0.0786089     	BOTTOM	5.234900e-07	2.239463e+01	2.410781e+00
0.0786089     	WALL	1.262911e-03	1.755802e+01	3.199729e+00
0.0793358     	BOTTOM	8.147741e-07	2.250616e+01	2.423605e+00
0.0793358     	WALL	1.247623e-03	1.751193e+01	3.213535e+00
0.0800671     	BOTTOM	2.958200e-07	2.261719e+01	2.436406e+00
0.0800671     	WALL	1.259061e-03	1.746133e+01	3.225941e+00
0.0807983     	BOTTOM	3.591931e-07	2.272777e+01	2.449176e+00
0.0807983     	WALL	1.323084e-03	1.740612e+01	3.236391e+00
0.0815342     	BOTTOM	4.311679e-07	2.283790e+01	2.461989e+00
0.0815342     	WALL	1.370265e-03	1.734423e+01	3.244965e+00
0.08227       	BOTTOM	6.001614e-07	2.294764e+01	2.474781e+00
0.08227       	WALL	1.459042e-03	1.727710e+01	3.251698e+00
0.0830104     	BOTTOM	7.830193e-07	2.305698e+01	2.487602e+00
0.0830104     	WALL	1.656310e-03	1.720631e+01	3.258165e+00
0.0837509     	BOTTOM	5.967997e-07	2.316596e+01	2.500379e+00
0.0837509     	WALL	2.125131e-03	1.713459e+01	3.262917e+00
0.084496      	BOTTOM	1.205634e-06	2.327457e+01	2.513092e+00
0.084496      	WALL	2.541925e-03	1.705772e+01	3.266915e+00
0.0852412     	BOTTOM	5.457099e-07	2.338283e+01	2.525757e+00
0.0852412     	WALL	2.886279e-03	1.698068e+01	3.270046e+00
0.0859864     	BOTTOM	7.783293e-07	2.349071e+01	2.538376e+00
0.0859864     	WALL	3.144729e-03	1.690058e+01	3.272100e+00
0.0867316     	BOTTOM	1.127865e-06	2.359831e+01	2.550882e+00
0.0867316     	WALL	3.192002e-03	1.681557e+01	3.272619e+00
0.0874719     	BOTTOM	3.898542e-07	2.370560e+01	2.563259e+00
0.0874719     	WALL	3.332263e-03	1.687747e+01	3.274477e+00
0.0882074     	BOTTOM	8.014263e-07	2.381299e+01	2.575528e+00
0.0882074     	WALL	3.512417e-03	1.695948e+01	3.279702e+00
0.0889333     	BOTTOM	1.233102e-06	2.392003e+01	2.587642e+00
0.0889333     	WALL	3.638128e-03	1.704031e+01	3.283835e+00
0.0896499     	BOTTOM	8.061433e-07	2.402641e+01	2.599641e+00
0.0896499     	WALL	3.718266e-03	1.711942e+01	3.287152e+00
0.0903618     	BOTTOM	3.273620e-07	2.413209e+01	2.611581e+00
0.0903618     	WALL	3.761073e-03	1.719651e+01	3.290038e+00
0.0910692     	BOTTOM	6.181114e-07	2.423700e+01	2.623470e+00
0.0910692     	WALL	3.812167e-03	1.726943e+01	3.291697e+00
0.0917719     	BOTTOM	1.543133e-06	2.434115e+01	2.635285e+00
0.0917719     	WALL	3.882587e-03	1.734159e+01	3.291968e+00
0.0924747     	BOTTOM	1.338398e-07	2.444452e+01	2.647080e+00
0.0924747     	WALL	3.963355e-03	1.741430e+01	3.292224e+00
0.0931821     	BOTTOM	7.728680e-07	2.454720e+01	2.658836e+00
0.0931821     	WALL	4.071420e-03	1.748728e+01	3.292131e+00
0.0938895     	BOTTOM	8.702415e-07	2.464925e+01	2.670552e+00
0.0938895     	WALL	4.227226e-03	1.756016e+01	3.294174e+00
0.0945922     	BOTTOM	1.329668e-06	2.475063e+01	2.682176e+00
0.0945922     	WALL	4.378210e-03	1.763249e+01	3.296472e+00
0.0952857     	BOTTOM	4.083494e-07	2.485130e+01	2.693695e+00
0.0952857     	WALL	4.486729e-03	1.770461e+01	3.297261e+00
0.0959701     	BOTTOM	5.412654e-07	2.495121e+01	2.705110e+00
0.0959701     	WALL	4.565535e-03	1.777550e+01	3.296255e+00
0.0966501     	BOTTOM	5.806864e-07	2.505030e+01	2.716446e+00
0.0966501     	WALL	4.621996e-03	1.784577e+01	3.295202e+00
0.0973255     	BOTTOM	1.165447e-06	2.514854e+01	2.727685e+00
0.0973255     	WALL	4.733297e-03	1.791449e+01	3.292932e+00
